prime_set,prime_set_size,rule_count,support_count,status,modulus,target_residues,covered_residues,coverage_ratio,uncovered_examples,rules
3;19;37;43,4,12,139066,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=23,a=18,b=74 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=47,a=36,b=152 | d=23,a=38,b=54 | d=35,a=54,b=86 | d=95,a=36,b=344"
5;23;31;37,4,17,138842,too_large,633144,,,,,"d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=79,a=20,b=296 | d=31,a=50,b=74"
3;37;43;59,4,10,138524,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=23,a=18,b=74 | d=87,a=4,b=344 | d=35,a=54,b=86 | d=95,a=36,b=344 | d=119,a=4,b=472"
3;31;41;43,4,12,138255,too_large,1311672,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=71,a=36,b=248 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;29;43;59,4,9,137757,too_large,1156872,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=119,a=4,b=472"
17;29;37;41,4,7,137681,too_large,1055832,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164"
5;23;31;41,4,15,137596,too_large,701592,,,,,"d=11,a=3,b=41 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=95,a=8,b=372 | d=71,a=120,b=164 | d=59,a=50,b=186 | d=27,a=46,b=62"
23;37;41,3,9,137300,too_large,837384,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=15,a=23,b=37"
17;37;41;59,4,7,137027,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=119,a=4,b=472"
29;43;53;59,4,9,136650,too_large,3227064,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=119,a=4,b=472"
3;37;43;53,4,11,136619,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=23,a=18,b=74 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=71,a=72,b=212 | d=35,a=54,b=86 | d=95,a=36,b=344"
31;41;43,3,9,136292,too_large,1311672,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344"
17;23;29;37,4,10,136119,too_large,437784,,,,,"d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=15,a=23,b=37"
5;23;29;31,4,16,135934,too_large,2481240,,,,,"d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=95,a=8,b=372 | d=39,a=40,b=116 | d=59,a=50,b=186"
17;29;31;43,4,11,135900,too_large,508776,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43"
3;23;31;43,4,15,135724,too_large,735816,,,,,"d=11,a=1,b=43 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=71,a=36,b=248 | d=35,a=54,b=86 | d=95,a=36,b=344 | d=27,a=46,b=62"
17;23;29;41,4,9,135687,too_large,485112,,,,,"d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276"
17;19;37;41,4,7,135484,too_large,691752,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=39,a=4,b=152"
17;23;37;59,4,10,135465,too_large,890664,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=15,a=23,b=37 | d=119,a=4,b=472"
17;31;43;59,4,11,135246,too_large,1035096,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
31;37;43,3,9,135204,too_large,1183704,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344"
19;29;43;53,4,9,135107,too_large,1039224,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=87,a=4,b=344"
3;17;37;43,4,11,135077,too_large,649128,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=23,a=18,b=74 | d=11,a=17,b=27 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=35,a=54,b=86 | d=95,a=36,b=344"
17;23;41;59,4,9,135033,too_large,986952,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=119,a=4,b=472"
5;31;37;41,4,13,134624,too_large,1128648,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=79,a=20,b=296 | d=71,a=120,b=164 | d=31,a=50,b=74 | d=59,a=50,b=186"
19;43;53;59,4,9,134453,too_large,1156872,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=119,a=4,b=472"
17;37;41;53,4,7,134377,too_large,1929624,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=55,a=8,b=212"
3;29;41;43,4,10,134228,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=47,a=72,b=116 | d=35,a=54,b=86 | d=95,a=36,b=344"
5;23;43;59,4,10,134225,too_large,1400424,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=87,a=4,b=344 | d=119,a=4,b=472"
17;19;23;37,4,10,133922,too_large,286824,,,,,"d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=15,a=23,b=37"
5;17;23;43,4,11,133850,too_large,403512,,,,,"d=11,a=1,b=43 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=39,a=20,b=136 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=87,a=4,b=344 | d=15,a=17,b=43"
23;31;43,3,12,133761,too_large,735816,,,,,"d=11,a=1,b=43 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=27,a=46,b=62"
17;23;37;53,4,11,133749,too_large,800088,,,,,"d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=15,a=23,b=37 | d=19,a=23,b=53"
17;19;31;43,4,11,133703,too_large,333336,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43"
17;19;23;41,4,9,133490,too_large,317832,,,,,"d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=39,a=4,b=152"
17;23;41;53,4,10,133317,too_large,886584,,,,,"d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=19,a=23,b=53"
5;29;31;41,4,13,133236,too_large,4423080,,,,,"d=11,a=3,b=41 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=71,a=120,b=164 | d=39,a=40,b=116 | d=59,a=50,b=186"
29;31;41;59,4,10,133215,too_large,1683624,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=119,a=4,b=472"
3;19;41;43,4,11,133106,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=47,a=36,b=152 | d=23,a=38,b=54 | d=35,a=54,b=86 | d=95,a=36,b=344"
5;23;43;53,4,12,133014,too_large,1258008,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53 | d=39,a=50,b=106"
5;29;31;37,4,14,132962,too_large,3991560,,,,,"d=19,a=2,b=74 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=39,a=40,b=116 | d=59,a=50,b=186"
5;19;23;43,4,10,132682,too_large,450984,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=39,a=4,b=152 | d=87,a=4,b=344"
17;31;43;53,4,11,132596,too_large,929832,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43"
3;41;43;59,4,9,132564,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=35,a=54,b=86 | d=95,a=36,b=344 | d=119,a=4,b=472"
29;31;37;59,4,10,132127,too_large,1519368,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=119,a=4,b=472"
5;41;43;59,4,8,132078,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=71,a=120,b=164 | d=119,a=4,b=472"
29;41;43,3,7,131984,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344"
3;31;37;41,4,10,131934,too_large,1128648,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=23,a=18,b=74 | d=95,a=8,b=372 | d=71,a=36,b=248"
5;37;43;59,4,9,131804,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=119,a=4,b=472"
5;17;41;43,4,9,131703,too_large,719304,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=20,b=136 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=71,a=120,b=164"
19;29;31;41,4,10,131672,too_large,542184,,,,,"d=11,a=3,b=41 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372"
5;17;37;43,4,10,131429,too_large,649128,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=39,a=20,b=136 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=15,a=17,b=43 | d=31,a=50,b=74"
41;43;59,3,7,131330,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=119,a=4,b=472"
3;23;29;43,4,12,131146,too_large,688344,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=47,a=72,b=116 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;31;41;59,4,10,131018,too_large,1103064,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=119,a=4,b=472"
17;29;43;59,4,9,130938,too_large,1765752,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
3;23;31;37,4,14,130923,too_large,633144,,,,,"d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=23,a=18,b=74 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=71,a=36,b=248 | d=27,a=46,b=62"
29;37;43,3,7,130896,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=87,a=4,b=344"
23;29;31;59,4,13,130684,too_large,944472,,,,,"d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=119,a=4,b=472 | d=27,a=46,b=62"
3;41;43;53,4,10,130659,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=71,a=72,b=212 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;29;31;37,4,10,130584,too_large,489288,,,,,"d=19,a=2,b=74 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372"
29;31;41;53,4,10,130565,too_large,1512408,,,,,"d=11,a=3,b=41 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372"
5;19;41;43,4,8,130535,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=71,a=120,b=164"
5;29;43;59,4,9,130416,too_large,1765752,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=87,a=4,b=344 | d=39,a=40,b=116 | d=119,a=4,b=472"
5;19;37;43,4,9,130261,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=31,a=50,b=74"
37;43;59,3,7,130242,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=87,a=4,b=344 | d=119,a=4,b=472"
5;17;29;43,4,10,130041,too_large,508776,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=39,a=20,b=136 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=39,a=40,b=116"
3;19;23;43,4,13,130024,too_large,450984,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=47,a=36,b=152 | d=23,a=38,b=54 | d=35,a=54,b=86 | d=95,a=36,b=344"
5;41;43;53,4,9,129933,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=71,a=120,b=164 | d=39,a=50,b=106"
19;31;37;59,4,10,129930,too_large,995448,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=119,a=4,b=472"
31;41;53;59,4,10,129911,too_large,3076968,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=119,a=4,b=472"
19;41;43,3,7,129787,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344"
5;37;43;53,4,10,129659,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=39,a=50,b=106"
3;23;43;59,4,11,129482,too_large,1400424,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=35,a=54,b=86 | d=95,a=36,b=344 | d=119,a=4,b=472"
29;31;37;53,4,10,129477,too_large,1364856,,,,,"d=19,a=2,b=74 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372"
17;19;29;43,4,9,129395,too_large,568632,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=17,b=43"
19;23;29;31,4,13,129141,too_large,304152,,,,,"d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=27,a=46,b=62"
3;17;41;43,4,10,129117,too_large,719304,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=11,a=17,b=27 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=35,a=54,b=86 | d=95,a=36,b=344"
23;29;31;53,4,14,128968,too_large,848424,,,,,"d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=19,a=23,b=53 | d=27,a=46,b=62"
23;29;43,3,9,128902,too_large,688344,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344"
5;19;29;43,4,9,128873,too_large,568632,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=39,a=40,b=116"
31;37;53;59,4,10,128823,too_large,2776776,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=119,a=4,b=472"
17;19;43;59,4,9,128741,too_large,1156872,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
19;37;43,3,7,128699,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=39,a=4,b=152 | d=87,a=4,b=344"
41;43;53,3,7,128680,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344"
3;23;43;53,4,13,128511,too_large,1258008,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53 | d=71,a=72,b=212 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;23;31;59,4,13,128487,too_large,618792,,,,,"d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=119,a=4,b=472 | d=27,a=46,b=62"
