prime_set,prime_set_size,rule_count,support_count,status,modulus,target_residues,covered_residues,coverage_ratio,uncovered_examples,rules
23;37;43;59,4,12,175330,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=119,a=4,b=472"
23;41;43;59,4,11,174898,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=119,a=4,b=472"
37;41;43;53,4,9,174242,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344"
19;23;37;43,4,12,173787,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=23,b=37"
23;37;43;53,4,13,173614,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=19,a=23,b=53"
19;23;41;43,4,11,173355,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344"
23;41;43;53,4,12,173182,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53"
23;31;37;41,4,14,169796,too_large,837384,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=27,a=46,b=62"
17;37;41;43,4,9,168530,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=15,a=17,b=43"
17;23;37;43,4,12,166968,too_large,649128,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=15,a=17,b=43"
17;23;41;43,4,11,166536,too_large,719304,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=17,b=43"
23;29;37;41,4,11,164937,too_large,1055832,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=15,a=23,b=37"
23;37;41;59,4,11,164283,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=15,a=23,b=37 | d=119,a=4,b=472"
29;31;41;43,4,11,163929,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344"
31;41;43;59,4,11,163275,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472"
29;31;37;43,4,11,162841,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344"
19;23;37;41,4,11,162740,too_large,691752,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=15,a=23,b=37"
23;37;41;53,4,12,162567,too_large,1929624,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=15,a=23,b=37 | d=19,a=23,b=53"
31;37;43;59,4,11,162187,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472"
19;31;41;43,4,11,161732,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344"
23;29;31;43,4,14,161398,too_large,688344,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=27,a=46,b=62"
23;31;43;59,4,14,160744,too_large,1400424,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472 | d=27,a=46,b=62"
19;31;37;43,4,11,160644,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344"
31;41;43;53,4,11,160625,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344"
31;37;43;53,4,11,159537,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344"
19;23;31;43,4,14,159201,too_large,450984,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=27,a=46,b=62"
23;31;43;53,4,15,159028,too_large,1258008,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=19,a=23,b=53 | d=27,a=46,b=62"
29;41;43;59,4,9,158967,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=119,a=4,b=472"
3;37;41;43,4,10,158191,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=23,a=18,b=74 | d=87,a=4,b=344 | d=35,a=54,b=86 | d=95,a=36,b=344"
29;37;43;59,4,9,157879,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=87,a=4,b=344 | d=119,a=4,b=472"
19;29;41;43,4,9,157424,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344"
19;41;43;59,4,9,156770,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=119,a=4,b=472"
3;23;37;43,4,13,156629,too_large,878232,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=23,a=18,b=74 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;29;37;43,4,9,156336,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=39,a=4,b=152 | d=87,a=4,b=344"
29;41;43;53,4,9,156317,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344"
5;23;37;43,4,13,155886,too_large,878232,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=79,a=20,b=296 | d=31,a=50,b=74"
23;29;43;59,4,11,155885,too_large,1765752,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=119,a=4,b=472"
19;37;43;59,4,9,155682,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=119,a=4,b=472"
41;43;53;59,4,9,155663,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=119,a=4,b=472"
29;37;43;53,4,9,155229,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=55,a=8,b=212 | d=87,a=4,b=344"
17;23;37;41,4,10,155132,too_large,618936,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=15,a=23,b=37"
