n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
466465,,,,,,,True,5,25,265,265,22945
466489,,,,,,,True,683,49,289,289,22969
466513,,,,,,,True,59,73,313,313,22993
466537,3,2,10,116635,108829085990,21765817198,True,,97,337,337,23017
466561,15,16,44,116644,13605385321,4947412844,True,,1,361,361,23041
466585,,,,,,,True,5,25,385,385,23065
466609,,,,,,,True,11,49,409,409,23089
466633,,,,,,,True,17,73,433,433,23113
466657,,,,,,,True,439,97,457,457,23137
466681,,,,,,,True,37,1,481,481,23161
466705,,,,,,,True,5,25,505,505,23185
466729,23,4,88,116688,54461673552,2475530616,True,,49,529,529,23209
466753,,,,,,,True,7,73,553,553,23233
466777,3,2,10,116695,108941084030,21788216806,True,,97,577,577,23257
466801,15,4,56,116704,54477543904,3891253136,True,,1,601,601,23281
466825,,,,,,,True,5,25,625,625,23305
466849,,,,,,,True,19,49,649,649,23329
466873,,,,,,,True,11,73,673,673,23353
466897,3,2,10,116725,108997104650,21799420930,True,,97,697,697,23377
466921,,,,,,,True,7,1,721,721,23401
466945,,,,,,,True,5,25,745,745,23425
466969,,,,,,,True,23,49,769,769,23449
466993,,,,,,,True,461,73,793,793,23473
467017,3,2,10,116755,109053139670,21810627934,True,,97,817,817,23497
467041,,,,,,,True,17,1,1,841,23521
467065,,,,,,,True,5,25,25,865,23545
467089,,,,,,,True,7,49,49,889,23569
467113,,,,,,,True,41,73,73,913,23593
467137,,,,,,,True,11,97,97,937,23617
467161,,,,,,,True,29,1,121,961,23641
467185,,,,,,,True,5,25,145,985,23665
467209,11,5,39,116805,43657877796,5597163820,True,,49,169,1009,23689
467233,,,,,,,True,13,73,193,1033,23713
467257,,,,,,,True,7,97,217,1057,23737
467281,,,,,,,True,43,1,241,1081,23761
467305,,,,,,,True,5,25,265,1105,23785
467329,31,32,92,116840,6825340045,2374031320,True,,49,289,1129,23809
467353,7,5,23,116840,43684419616,9496612960,True,,73,313,1153,23833
467377,,,,,,,True,191,97,337,1177,23857
467401,,,,,,,True,11,1,361,1201,23881
467425,,,,,,,True,5,25,385,1225,23905
467449,,,,,,,True,17,49,409,1249,23929
467473,7,2,26,116870,109267139020,8405164540,True,,73,433,1273,23953
467497,3,1,11,116875,218554847500,19868622500,True,,97,457,1297,23977
467521,,,,,,,True,23,1,481,1321,24001
467545,,,,,,,True,5,25,505,1345,24025
467569,,,,,,,True,37,49,529,1369,24049
467593,,,,,,,True,7,73,553,1393,24073
467617,3,2,10,116905,109333530770,21866706154,True,,97,577,1417,24097
467641,15,4,56,116914,54673779874,3905269991,True,,1,601,1441,24121
467665,,,,,,,True,5,25,625,1465,24145
467689,23,8,84,116928,27342969696,2604092352,True,,49,649,1489,24169
467713,7,8,20,116930,27344840545,10937936218,True,,73,673,1513,24193
467737,3,2,10,116935,109389652190,21877930438,True,,97,697,1537,24217
467761,,,,,,,True,7,1,721,1561,24241
467785,,,,,,,True,5,25,745,1585,24265
467809,,,,,,,True,61,49,769,1609,24289
467833,7,8,20,116960,27358873840,10943549536,True,,73,793,1633,24313
467857,,,,,,,True,13,97,817,1657,24337
467881,11,3,41,116973,72972592284,5339457972,True,,1,1,1681,24361
467905,,,,,,,True,5,25,25,1705,24385
467929,,,,,,,True,7,49,49,1729,24409
467953,7,8,20,116990,27372910735,10949164294,True,,73,73,1753,24433
467977,3,2,10,116995,109501938230,21900387646,True,,97,97,1777,24457
468001,11,1,43,117003,219030084012,5093722884,True,,1,121,1801,24481
468025,,,,,,,True,5,25,145,1825,24505
468049,11,15,29,117015,14605000996,7554310860,True,,49,169,1849,24529
468073,,,,,,,True,23,73,193,1873,24553
468097,,,,,,,True,7,97,217,1897,24577
468121,11,2,42,117033,109571209986,5217676666,True,,1,241,1921,24601
468145,,,,,,,True,5,25,265,1945,24625
468169,,,,,,,True,13,49,289,1969,24649
468193,,,,,,,True,11,73,313,1993,24673
468217,,,,,,,True,19,97,337,2017,24697
468241,7,11,17,117062,19932082888,12897230104,True,,1,361,2041,24721
468265,,,,,,,True,5,25,385,2065,24745
468289,3,1,11,117073,219295992388,19935999308,True,,49,409,2089,24769
468313,,,,,,,True,43,73,433,2113,24793
468337,,,,,,,True,101,97,457,2137,24817
468361,,,,,,,True,53,1,481,2161,24841
468385,,,,,,,True,5,25,505,2185,24865
468409,,,,,,,True,383,49,529,2209,24889
468433,,,,,,,True,7,73,553,2233,24913
468457,,,,,,,True,11,97,577,2257,24937
468481,,,,,,,True,13,1,601,2281,24961
468505,,,,,,,True,5,25,625,2305,24985
468529,,,,,,,True,71,49,649,2329,25009
468553,,,,,,,True,29,73,673,2353,25033
468577,3,2,10,117145,109782905330,21956581066,True,,97,697,2377,25057
468601,,,,,,,True,7,1,721,2401,25081
468625,,,,,,,True,5,25,745,2425,25105
468649,,,,,,,True,661,49,769,2449,25129
468673,,,,,,,True,17,73,793,2473,25153
468697,3,2,10,117175,109839141950,21967828390,True,,97,817,2497,25177
468721,,,,,,,True,11,1,1,1,25201
468745,,,,,,,True,5,25,25,25,25225
468769,,,,,,,True,7,49,49,49,25249
468793,,,,,,,True,13,73,73,73,25273
468817,3,1,11,117205,219790785940,19980980540,True,,97,97,97,25297
468841,23,4,88,117216,54955666656,2497984848,True,,1,121,121,25321
468865,,,,,,,True,5,25,145,145,25345
468889,35,2,138,117231,109936652718,1593284822,True,,49,169,169,25369
468913,7,8,20,117230,27485335495,10994134198,True,,73,193,193,25393
468937,,,,,,,True,7,97,217,217,25417
468961,,,,,,,True,277,1,241,241,25441
468985,,,,,,,True,5,25,265,265,25465
469009,31,20,104,117260,10999199068,2115230590,True,,49,289,289,25489
469033,,,,,,,True,83,73,313,313,25513
469057,,,,,,,True,197,97,337,337,25537
469081,,,,,,,True,17,1,361,361,25561
