focus_r,d,a,b,missing_prime,count,avg_lift_ratio,example_residues
529,79,2,314,157,213,157,107027449;60681621529;80407968169;18787969729;77778421249
961,79,104,212,53,213,53,41202121;9266057761;79423344961;121517717281;60362463121
289,95,4,376,47,212,47,21378237169;25025320609;30495945769;37790112649;46907821249
361,15,23,37,37,212,731.971698113,20060401;51171481;72552841;103663921;122282521
529,47,36,152,19,212,53.2358490566,13333849;61261729;88649089;122883289;170811169
529,23,9,83,3,212,249,19219729;32192689;62102569;138859249;38513235289
961,51,11,193,193,212,193,28829761;124925761;14031458401;90674985361;5824619761
289,59,3,233,233,210,233,23904169;43415932849;79576377169;95910655129;123030988369
529,59,3,233,233,207,233,41081569;170330689;7139332729;138458841049;12775603369
361,87,4,344,43,206,43,50811121;112793041;76319563681;225489384481;5897772241
361,63,8,244,61,201,61,32673001;40000321;120600841;149910121;171892081
529,35,9,131,131,200,271.17,155195569;52791178969;74208094489;108212384809;9770321089
289,75,2,298,149,199,149,34114369;29642373049;58547449249;71661430129;94785491089
289,111,20,424,53,199,53,13385692609;17498361169;21611029729;31892701129;36005369689
529,63,16,236,59,199,59,46126609;29684295169;51852681409;74021067649;96189453889
289,47,16,172,2,198,86,8408689;29069329;39399649;6712786369;10049479729
529,71,71,213,71,198,71,48649129;133934329;91116185689;117793396249;117605768809
529,31,50,74,37,198,165.565656566,72312769;94534969;121738857769;156494378569;191249899369
529,75,2,298,149,198,149,83604049;132132529;91679788729;103515452569;119672073049
841,15,23,37,37,197,714.644670051,19820641;72313081;143424121;224264881;295375921
289,131,6,518,37,195,37,2056454689;35074199449;45123078289;47994186529;50865294769
289,39,32,124,31,194,91.881443299,27988249;6983897209;16605989689;26228082169;31039128409
529,83,6,326,163,194,163,32877204889;45088604089;63499636729;75711035929;167578331449
289,31,50,74,5,193,160.751295337,37285728769;44463499369;51641269969;80352352369;101885664169
529,59,7,229,229,193,229,177177529;11460289369;98819000809;141840699529;184862398249
961,95,12,368,23,193,23,12253201;56457361;2382701281;17605508881;29783754961
841,87,4,344,43,192,43,36997801;52493281;67988761;191952601;269430001
841,51,2,202,101,192,101,46247041;82643401;143304001;325285801;349550041
529,95,26,354,59,191,59,32913409;40000489;146306689;153393769;146161415929
289,39,32,124,2,190,88.1894736842,27988249;6983897209;16605989689;26228082169;31039128409
361,23,9,83,3,190,238.642105263,10691041;27627961;70510801;87447721;117357601
361,35,41,99,41,189,94.7989417989,31351681;134775001;27926098561;91930358881;134599865761
529,31,50,74,5,188,169.680851064,72312769;94534969;117605528569;121738857769;156494378569
289,71,71,213,71,187,71,16062807049;54628774489;71157046249;112477725649;123496573489
361,15,23,37,23,187,824.43315508,20060401;51171481;72552841;103663921;122282521
289,35,18,122,61,186,161.35483871,32432689;7022695969;70924253689;78024426769;85124599849
841,83,14,318,53,186,53,39520321;64985761;135015721;281442001;306907441
841,95,52,328,41,184,41,92012761;210210841;254535121;284084641;367808281
289,71,5,279,31,183,77.4153005464,16218002089;23434571449;37867710169;48692564209;52300848889
361,35,19,121,11,183,11,17297641;142823041;167928121;342224643121;483415613041
529,111,20,424,53,183,53,31231729;106521335449;6200234569;155555040169;93935041729
529,71,5,279,31,183,65.5573770492,55375849;88889329;178258609;49409560729;1127807209
361,47,72,116,29,181,70.0165745856,24264601;76516801;86967241;68861312881;114132618961
529,87,56,292,73,181,73,87327769;139940329;166246609;99945966649;32689577449
529,15,17,43,43,177,43,130691089;22170428809;30248739049;38327049289;46405359529
289,15,23,37,37,176,605.875,10811089;776095609;55210755889;66811585129;88228500649
289,79,2,314,157,175,157,5936330689;53697604249;54667573249;72941789209;97307410489
289,63,16,236,59,175,93.7257142857,9195426529;32086694929;77869231729;2406003889;6984257569
841,15,23,37,23,175,798.954285714,19820641;72313081;143424121;224264881;295375921
841,95,4,376,47,175,47,127928641;150511201;235195801;348108601;200892532681
361,95,12,368,23,173,23,115675921;143303521;13702929601;85512587521;101470289281
289,35,9,131,131,172,348.825581395,6789903409;31116725929;52533641449;122604202009;519049931689
961,79,2,314,157,172,157,54535441;84084961;13104852721;169436468161;116753037361
961,75,2,298,149,171,149,95376241;153551799361;194323170001;178174117081;296514899641
289,63,1,251,251,170,251,73252179289;75541306129;104756772409;112206134329;114495261169
529,87,14,334,167,169,167,39399889;99580009;123241558969;13339206409;201582621769
841,35,18,122,61,169,157.01183432,87688441;109670401;219580201;241562161;307508041
289,31,50,74,37,167,185,37285728769;44463499369;51641269969;80352352369;101885664169
841,95,12,368,23,167,23,59460241;131292001;136817521;164445121;203123761
529,47,72,116,3,166,70.3012048193,49009489;2818376089;19162864249;51851840569;44902297969
529,143,56,516,43,166,43,63303769;114955369;104079295849;120235916329;160627467529
289,71,5,279,3,164,78.1829268293,16218002089;23434571449;37867710169;48692564209;52300848889
289,95,12,368,23,164,39.4085365854,21689107729;28828079569;41321280289;46675509169;68092424689
