relation_type,focus_r,qA,qB,count,success_rate,example_base_class,notes
independent,289,116,2544,930,0.1817116060961313,77717929 mod 130286236080,independent
unknown_large_lcm,289,244,9920,856,0.963963963963964,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,361,236,8280,839,0.7572202166064982,695735401 mod 446295289440,symbolic_too_large
independent,289,184,248,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,404,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,424,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,428,730,1.0,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,436,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,488,730,1.0,970690009 mod 41631069480,independent
independent,289,184,536,730,1.0,970690009 mod 41631069480,independent
independent,289,184,552,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,556,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,568,730,1.0,970690009 mod 41631069480,independent
independent,289,184,664,730,1.0,970690009 mod 41631069480,independent
independent,289,184,852,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,1068,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,1196,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,1644,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,1704,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,1940,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,2120,730,1.0,970690009 mod 41631069480,independent
independent,289,184,2440,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,2796,730,1.0,970690009 mod 41631069480,symbolic_too_large
independent,289,184,2920,730,1.0,970690009 mod 41631069480,independent
independent,289,184,3608,730,1.0,970690009 mod 41631069480,independent
independent,289,184,3692,730,1.0,970690009 mod 41631069480,independent
independent,289,184,3720,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,3980,730,1.0,970690009 mod 41631069480,symbolic_too_large
