feature,remaining_count,covered_count,enrichment_ratio
r_mod_23=14,14398,1489,0.7625622177514758
r_mod_47=43,5932,624,0.7496945693712704
r_mod_17=10,15683,1650,0.7495714049351818
r_mod_43=29,6518,692,0.7428071473747392
r_mod_29=15,11193,1198,0.7368133701908949
r_mod_37=32,7184,776,0.7300833003182635
r_qr_mod_17=False,104917,11340,0.72962653762139
r_mod_31=17,9333,1014,0.7258570896770649
r_mod_19=12,16709,1816,0.7256086095059094
r_mod_53=50,5235,571,0.7230168022441632
r_mod_23=17,16062,1766,0.7172602026537259
r_mod_13=9,112835,12475,0.713298139402805
r_mod_23=19,13222,1537,0.6784082139377058
r_mod_29=2,7953,934,0.6715091248227343
r_mod_41=19,6642,786,0.6664140388724292
r_mod_37=31,7473,894,0.6592122599288542
r_mod_41=38,6749,809,0.6578982312063509
r_mod_31=30,7737,939,0.6497926832703051
r_mod_31=21,9049,1202,0.5936957401215651
r_mod_43=42,6024,813,0.5843354436788193
r_mod_47=44,5783,795,0.5736590850342904
r_mod_37=17,7315,1058,0.5452510053398705
r_mod_19=0,3091,474,0.5142667852718277
r_mod_29=8,9260,1437,0.5081852210137355
focus=841,51673,8118,0.5019754081916628
r_mod_11=5,51673,8118,0.5019754081916628
r_mod_7=1,51673,8118,0.5019754081916628
r_mod_840=1,51673,8118,0.5019754081916628
r_mod_19=8,3101,492,0.4970550330586324
r_mod_19=18,3102,517,0.4731720276004783
r_mod_31=27,8639,1443,0.47213365054753187
r_mod_19=13,16136,2726,0.4668075224603397
r_mod_47=45,5459,973,0.44245393947773387
r_mod_31=26,8325,1561,0.4205805178063187
r_mod_17=6,10808,2356,0.36177442517727565
r_mod_17=3,8428,2541,0.26156984445866654
gcd_r_m=19,0,49,0.0
gcd_r_m=29,0,30,0.0
gcd_r_m=73,0,1,0.0
gcd_r_m=83,0,18,0.0
gcd_r_m=97,0,37,0.0
gcd_r_m_is_1=False,0,135,0.0
