d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,residue_count,residue_set,prime_power_local_conditions,hard_core_residues_mod_p,"hard_core_matches_{0,-d}_mod_p"
47,47,141,564,141,3*47,3260,"G: one dominant prime factor in lcm(a,b)",47,2,141;517,"3^1 mod 3: [0, 1]; 47^1 mod 47: [0]",0,False
31,32,92,736,736,2^5*23,3239,"G: one dominant prime factor in lcm(a,b)",23,2,161;705,"2^5 mod 32: [0, 1]; 23^1 mod 23: [0, 15]",,False
47,16,172,688,688,2^4*43,3193,"G: one dominant prime factor in lcm(a,b)",43,2,129;641,"2^4 mod 16: [0, 1]; 43^1 mod 43: [0, 39]",,False
95,8,372,744,744,2^3*3*31,3187,"G: one dominant prime factor in lcm(a,b)",31,4,153;217;465;649,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 31^1 mod 31: [0, 29]",0;29,True
71,2,282,564,282,2*3*47,3110,"G: one dominant prime factor in lcm(a,b)",47,4,117;141;493;517,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 47^1 mod 47: [0, 23]",0;23,True
23,39,53,8268,2067,3*13*53,2946,"G: one dominant prime factor in lcm(a,b)",53,8,1537;1885;2733;3445;4293;4641;6201;8245,"3^1 mod 3: [0, 1]; 13^1 mod 13: [0, 3]; 53^1 mod 53: [0, 30]",,False
63,8,244,488,488,2^3*61,2888,"G: one dominant prime factor in lcm(a,b)",61,2,305;425,"2^3 mod 8: [0, 1]; 61^1 mod 61: [0, 59]",0;59,True
27,14,94,1316,658,2*7*47,2742,"G: one dominant prime factor in lcm(a,b)",47,4,141;161;329;1289,"2^1 mod 2: [0, 1]; 7^1 mod 7: [0, 1]; 47^1 mod 47: [0, 20]",,False
87,4,344,344,344,2^3*43,2664,"G: one dominant prime factor in lcm(a,b)",43,2,129;257,"2^3 mod 8: [0, 1]; 43^1 mod 43: [0, 42]",0;42,True
39,10,146,1460,730,2*5*73,2645,"G: one dominant prime factor in lcm(a,b)",73,4,365;545;1241;1421,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 1]; 73^1 mod 73: [0, 34]",,False
23,16,76,304,304,2^4*19,2542,"G: one dominant prime factor in lcm(a,b)",19,2,57;281,"2^4 mod 16: [0, 9]; 19^1 mod 19: [0, 15]",,False
35,18,122,2196,1098,2*3^2*61,1530,"G: one dominant prime factor in lcm(a,b)",61,4,549;793;1917;2161,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 1]; 61^1 mod 61: [0, 26]",,False
15,23,37,3404,851,23*37,1520,"G: one dominant prime factor in lcm(a,b)",37,4,629;1909;2553;3389,"23^1 mod 23: [0, 8]; 37^1 mod 37: [0, 22]",,False
35,9,131,4716,1179,3^2*131,1433,"G: one dominant prime factor in lcm(a,b)",131,4,1441;2061;3537;4681,"3^2 mod 9: [0, 1]; 131^1 mod 131: [0, 96]",,False
23,13,79,4108,1027,13*79,1121,"G: one dominant prime factor in lcm(a,b)",79,4,237;2821;3081;4085,"13^1 mod 13: [0, 3]; 79^1 mod 79: [0, 56]",,False
59,1,235,940,235,5*47,1086,"G: one dominant prime factor in lcm(a,b)",47,4,141;505;705;881,"5^1 mod 5: [0, 1]; 47^1 mod 47: [0, 35]",,False
39,5,151,3020,755,5*151,1072,"G: one dominant prime factor in lcm(a,b)",151,4,565;1661;2265;2981,"5^1 mod 5: [0, 1]; 151^1 mod 151: [0, 112]",,False
59,14,222,3108,1554,2*3*7*37,1059,"G: one dominant prime factor in lcm(a,b)",37,8,333;385;777;1369;1813;2013;2457;3049,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 4]; 37^1 mod 37: [0, 15]",,False
47,36,152,1368,1368,2^3*3^2*19,1053,"G: one dominant prime factor in lcm(a,b)",19,4,513;817;1017;1321,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 7]; 19^1 mod 19: [0, 10]",,False
23,38,54,2052,1026,2*3^3*19,1032,"G: one dominant prime factor in lcm(a,b)",19,4,513;1269;1273;2029,"2^1 mod 2: [0, 1]; 3^3 mod 27: [0, 4]; 19^1 mod 19: [0, 15]",,False
95,4,376,376,376,2^3*47,1022,"G: one dominant prime factor in lcm(a,b)",47,2,281;329,"2^3 mod 8: [0, 1]; 47^1 mod 47: [0, 46]",0;46,True
47,72,116,2088,2088,2^3*3^2*29,1010,"G: one dominant prime factor in lcm(a,b)",29,4,1305;1537;1809;2041,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 7]; 29^1 mod 29: [0, 11]",,False
47,42,146,6132,3066,2*3*7*73,991,"G: one dominant prime factor in lcm(a,b)",73,8,1533;2289;3285;3577;4041;4333;5329;6085,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 2]; 73^1 mod 73: [0, 26]",,False
19,35,41,5740,1435,5*7*41,970,"G: one dominant prime factor in lcm(a,b)",41,8,205;861;1785;2501;3425;4081;4305;5721,"5^1 mod 5: [0, 1]; 7^1 mod 7: [0, 2]; 41^1 mod 41: [0, 22]",,False
43,29,143,16588,4147,11*13*29,951,"G: one dominant prime factor in lcm(a,b)",29,8,1001;2509;9889;11397;12441;13949;15037;16545,"11^1 mod 11: [0, 1]; 13^1 mod 13: [0, 9]; 29^1 mod 29: [0, 15]",,False
51,10,194,1940,970,2*5*97,934,"G: one dominant prime factor in lcm(a,b)",97,4,485;725;1649;1889,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 4]; 97^1 mod 97: [0, 46]",,False
19,23,53,4876,1219,23*53,934,"G: one dominant prime factor in lcm(a,b)",53,4,901;2737;3657;4857,"23^1 mod 23: [0, 4]; 53^1 mod 53: [0, 34]",,False
95,12,368,1104,1104,2^4*3*23,913,"G: one dominant prime factor in lcm(a,b)",23,4,273;529;897;1009,"2^4 mod 16: [0, 1]; 3^1 mod 3: [0, 1]; 23^1 mod 23: [0, 20]",,False
63,16,236,944,944,2^4*59,869,"G: one dominant prime factor in lcm(a,b)",59,2,177;881,"2^4 mod 16: [0, 1]; 59^1 mod 59: [0, 55]",,False
75,2,298,596,298,2*149,863,"F2: a=2, b=2p, p=2d-1",149,2,149;521,"2^1 mod 2: [0, 1]; 149^1 mod 149: [0, 74]",0;74,True
39,46,110,5060,2530,2*5*11*23,840,"G: one dominant prime factor in lcm(a,b)",23,8,605;621;1265;1985;2645;3641;4301;5021,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 1]; 11^1 mod 11: [0, 5]; 23^1 mod 23: [0, 7]",,False
59,3,233,2796,699,3*233,839,"F3: a=3, b=p=4d-3",233,4,873;1165;2097;2737,"3^1 mod 3: [0, 1]; 233^1 mod 233: [0, 174]",0;174,True
79,2,314,628,314,2*157,834,"F2: a=2, b=2p, p=2d-1",157,2,157;549,"2^1 mod 2: [0, 1]; 157^1 mod 157: [0, 78]",0;78,True
31,56,68,952,952,2^3*7*17,820,"G: one dominant prime factor in lcm(a,b)",17,4,105;697;833;921,"2^3 mod 8: [0, 1]; 7^1 mod 7: [0, 4]; 17^1 mod 17: [0, 3]",,False
27,26,82,2132,1066,2*13*41,820,"G: one dominant prime factor in lcm(a,b)",41,4,533;793;1845;2105,"2^1 mod 2: [0, 1]; 13^1 mod 13: [0, 12]; 41^1 mod 41: [0, 14]",,False
79,20,296,1480,1480,2^3*5*37,814,"G: one dominant prime factor in lcm(a,b)",37,4,185;481;1105;1401,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 1]; 37^1 mod 37: [0, 32]",,False
59,10,226,2260,1130,2*5*113,811,"G: one dominant prime factor in lcm(a,b)",113,4,565;845;1921;2201,"2^1 mod 2: [0, 1]; 5^1 mod 5: [0, 1]; 113^1 mod 113: [0, 54]",,False
15,17,43,2924,731,17*43,789,"G: one dominant prime factor in lcm(a,b)",43,4,2193;2365;2737;2909,"17^1 mod 17: [0, 2]; 43^1 mod 43: [0, 28]",,False
59,30,206,6180,3090,2*3*5*103,765,"G: one dominant prime factor in lcm(a,b)",103,8,721;765;1545;2001;2781;4885;5665;6121,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 1]; 103^1 mod 103: [0, 44]",,False
47,9,179,6444,1611,3^2*179,764,"G: one dominant prime factor in lcm(a,b)",179,4,1969;2817;4833;6397,"3^2 mod 9: [0, 7]; 179^1 mod 179: [0, 132]",,False
43,26,146,3796,1898,2*13*73,763,"G: one dominant prime factor in lcm(a,b)",73,4,949;1417;3285;3753,"2^1 mod 2: [0, 1]; 13^1 mod 13: [0, 9]; 73^1 mod 73: [0, 30]",,False
55,32,188,1504,1504,2^5*47,753,"G: one dominant prime factor in lcm(a,b)",47,2,329;1449,"2^5 mod 32: [0, 9]; 47^1 mod 47: [0, 39]",,False
71,120,164,4920,4920,2^3*3*5*41,748,"G: one dominant prime factor in lcm(a,b)",41,8,369;585;1569;2665;3649;3865;4305;4849,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 41^1 mod 41: [0, 11]",,False
31,50,74,3700,1850,2*5^2*37,748,"G: one dominant prime factor in lcm(a,b)",37,4,925;1369;3225;3669,"2^1 mod 2: [0, 1]; 5^2 mod 25: [0, 19]; 37^1 mod 37: [0, 6]",,False
71,72,212,3816,3816,2^3*3^2*53,745,"G: one dominant prime factor in lcm(a,b)",53,4,2385;2809;3321;3745,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 1]; 53^1 mod 53: [0, 35]",,False
39,64,92,1472,1472,2^6*23,729,"G: one dominant prime factor in lcm(a,b)",23,2,345;1433,"2^6 mod 64: [0, 25]; 23^1 mod 23: [0, 7]",,False
71,36,248,2232,2232,2^3*3^2*31,729,"G: one dominant prime factor in lcm(a,b)",31,4,217;1665;1953;2161,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 1]; 31^1 mod 31: [0, 22]",,False
47,14,174,2436,1218,2*3*7*29,728,"G: one dominant prime factor in lcm(a,b)",29,8,261;301;609;765;1113;1885;2233;2389,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 2]; 29^1 mod 29: [0, 11]",,False
27,7,101,2828,707,7*101,725,"G: one dominant prime factor in lcm(a,b)",101,4,505;1589;2121;2801,"7^1 mod 7: [0, 1]; 101^1 mod 101: [0, 74]",,False
83,6,326,1956,978,2*3*163,718,"F4: a=6, b=2p, p=2d-3",163,4,489;1141;1221;1873,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 163^1 mod 163: [0, 80]",0;80,True
39,40,116,1160,1160,2^3*5*29,718,"G: one dominant prime factor in lcm(a,b)",29,4,145;425;841;1121,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 1]; 29^1 mod 29: [0, 19]",,False
35,11,129,5676,1419,3*11*43,704,"G: one dominant prime factor in lcm(a,b)",43,8,825;1857;2365;3397;4257;4609;5289;5641,"3^1 mod 3: [0, 1]; 11^1 mod 11: [0, 9]; 43^1 mod 43: [0, 8]",,False
63,1,251,1004,251,251,701,"F1: a=1, b=p=4d-1",251,2,753;941,"251^1 mod 251: [0, 188]",0;188,True
35,66,74,4884,2442,2*3*11*37,689,"G: one dominant prime factor in lcm(a,b)",37,8,1221;1593;1813;2629;3441;4257;4477;4849,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 11^1 mod 11: [0, 9]; 37^1 mod 37: [0, 2]",,False
71,16,268,1072,1072,2^4*67,670,"G: one dominant prime factor in lcm(a,b)",67,2,201;1001,"2^4 mod 16: [0, 9]; 67^1 mod 67: [0, 63]",,False
71,48,236,2832,2832,2^4*3*59,665,"G: one dominant prime factor in lcm(a,b)",59,4,649;873;1593;2761,"2^4 mod 16: [0, 9]; 3^1 mod 3: [0, 1]; 59^1 mod 59: [0, 47]",,False
87,2,346,692,346,2*173,650,"F2: a=2, b=2p, p=2d-1",173,2,173;605,"2^1 mod 2: [0, 1]; 173^1 mod 173: [0, 86]",0;86,True
71,5,279,5580,1395,3^2*5*31,646,"G: one dominant prime factor in lcm(a,b)",31,8,549;1045;1665;2449;3069;3565;4185;5509,"3^2 mod 9: [0, 1]; 5^1 mod 5: [0, 4]; 31^1 mod 31: [0, 22]",,False
23,31,61,7564,1891,31*61,644,"G: one dominant prime factor in lcm(a,b)",61,4,465;5185;5673;7541,"31^1 mod 31: [0, 8]; 61^1 mod 61: [0, 38]",,False
47,21,167,14028,3507,3*7*167,628,"G: one dominant prime factor in lcm(a,b)",167,8,2625;4629;5845;7849;10521;11977;12525;13981,"3^1 mod 3: [0, 1]; 7^1 mod 7: [0, 2]; 167^1 mod 167: [0, 120]",,False
71,12,272,816,816,2^4*3*17,622,"G: one dominant prime factor in lcm(a,b)",17,4,153;201;697;745,"2^4 mod 16: [0, 9]; 3^1 mod 3: [0, 1]; 17^1 mod 17: [0, 14]",,False
71,40,244,2440,2440,2^3*5*61,621,"G: one dominant prime factor in lcm(a,b)",61,4,305;905;1769;2369,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 4]; 61^1 mod 61: [0, 51]",,False
35,54,86,4644,2322,2*3^3*43,619,"G: one dominant prime factor in lcm(a,b)",43,4,1161;2881;2889;4609,"2^1 mod 2: [0, 1]; 3^3 mod 27: [0, 19]; 43^1 mod 43: [0, 8]",,False
95,36,344,3096,3096,2^3*3^2*43,615,"G: one dominant prime factor in lcm(a,b)",43,4,1161;1849;2313;3001,"2^3 mod 8: [0, 1]; 3^2 mod 9: [0, 4]; 43^1 mod 43: [0, 34]",,False
47,7,181,5068,1267,7*181,604,"G: one dominant prime factor in lcm(a,b)",181,4,905;2849;3801;5021,"7^1 mod 7: [0, 2]; 181^1 mod 181: [0, 134]",,False
119,4,472,472,472,2^3*59,601,"G: one dominant prime factor in lcm(a,b)",59,2,177;353,"2^3 mod 8: [0, 1]; 59^1 mod 59: [0, 58]",0;58,True
35,27,113,12204,3051,3^3*113,599,"G: one dominant prime factor in lcm(a,b)",113,4,9153;9909;11413;12169,"3^3 mod 27: [0, 19]; 113^1 mod 113: [0, 78]",,False
59,50,186,9300,4650,2*3*5^2*31,585,"G: one dominant prime factor in lcm(a,b)",31,8,2325;3441;5025;5425;6141;6541;8125;9241,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^2 mod 25: [0, 16]; 31^1 mod 31: [0, 3]",,False
71,1,283,1132,283,283,573,"F1: a=1, b=p=4d-1",283,2,849;1061,"283^1 mod 283: [0, 212]",0;212,True
107,2,426,852,426,2*3*71,564,"G: one dominant prime factor in lcm(a,b)",71,4,177;213;745;781,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 71^1 mod 71: [0, 35]",0;35,True
55,104,116,3016,3016,2^3*13*29,556,"G: one dominant prime factor in lcm(a,b)",29,4,377;1105;2233;2961,"2^3 mod 8: [0, 1]; 13^1 mod 13: [0, 10]; 29^1 mod 29: [0, 3]",,False
95,24,356,2136,2136,2^3*3*89,555,"F5: a=24, b=4p, p=d-6",89,4,801;1329;1513;2041,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 89^1 mod 89: [0, 83]",0;83,True
27,46,62,2852,1426,2*23*31,551,"G: one dominant prime factor in lcm(a,b)",31,4,341;345;713;2825,"2^1 mod 2: [0, 1]; 23^1 mod 23: [0, 19]; 31^1 mod 31: [0, 4]",,False
71,30,254,7620,3810,2*3*5*127,549,"G: one dominant prime factor in lcm(a,b)",127,8,889;945;1905;2469;3429;6025;6985;7549,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 127^1 mod 127: [0, 56]",,False
71,3,281,3372,843,3*281,542,"F3: a=3, b=p=4d-3",281,4,1053;1405;2529;3301,"3^1 mod 3: [0, 1]; 281^1 mod 281: [0, 210]",0;210,True
71,6,278,1668,834,2*3*139,541,"F4: a=6, b=2p, p=2d-3",139,4,417;973;1041;1597,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 139^1 mod 139: [0, 68]",0;68,True
51,5,199,3980,995,5*199,527,"G: one dominant prime factor in lcm(a,b)",199,4,745;2189;2985;3929,"5^1 mod 5: [0, 4]; 199^1 mod 199: [0, 148]",,False
143,8,564,1128,1128,2^3*3*47,522,"G: one dominant prime factor in lcm(a,b)",47,4,609;705;985;1081,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 47^1 mod 47: [0, 45]",0;45,True
39,32,124,992,992,2^5*31,517,"G: one dominant prime factor in lcm(a,b)",31,2,217;953,"2^5 mod 32: [0, 25]; 31^1 mod 31: [0, 23]",,False
59,18,218,3924,1962,2*3^2*109,515,"G: one dominant prime factor in lcm(a,b)",109,4,981;1417;3429;3865,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 4]; 109^1 mod 109: [0, 50]",,False
39,50,106,5300,2650,2*5^2*53,505,"G: one dominant prime factor in lcm(a,b)",53,4,1325;1961;4625;5261,"2^1 mod 2: [0, 1]; 5^2 mod 25: [0, 11]; 53^1 mod 53: [0, 14]",,False
35,22,118,2596,1298,2*11*59,500,"G: one dominant prime factor in lcm(a,b)",59,4,649;1593;1617;2561,"2^1 mod 2: [0, 1]; 11^1 mod 11: [0, 9]; 59^1 mod 59: [0, 24]",,False
59,9,227,8172,2043,3^2*227,487,"G: one dominant prime factor in lcm(a,b)",227,4,2497;3573;6129;8113,"3^2 mod 9: [0, 4]; 227^1 mod 227: [0, 168]",,False
19,29,47,5452,1363,29*47,485,"G: one dominant prime factor in lcm(a,b)",47,4,329;3741;4089;5433,"29^1 mod 29: [0, 10]; 47^1 mod 47: [0, 28]",,False
79,158,158,316,158,2*79,464,"G: one dominant prime factor in lcm(a,b)",79,1,237,"2^1 mod 2: [0, 1]; 79^1 mod 79: [0]",0,False
31,35,89,12460,3115,5*7*89,461,"G: one dominant prime factor in lcm(a,b)",89,8,445;1869;3885;5429;7445;8869;9345;12429,"5^1 mod 5: [0, 4]; 7^1 mod 7: [0, 4]; 89^1 mod 89: [0, 58]",,False
63,88,164,3608,3608,2^3*11*41,459,"G: one dominant prime factor in lcm(a,b)",41,4,1353;2233;2665;3545,"2^3 mod 8: [0, 1]; 11^1 mod 11: [0, 3]; 41^1 mod 41: [0, 19]",,False
95,52,328,4264,4264,2^3*13*41,459,"G: one dominant prime factor in lcm(a,b)",41,4,2665;3185;3649;4169,"2^3 mod 8: [0, 1]; 13^1 mod 13: [0, 9]; 41^1 mod 41: [0, 28]",,False
119,12,464,1392,1392,2^4*3*29,459,"G: one dominant prime factor in lcm(a,b)",29,4,345;841;1273;1305,"2^4 mod 16: [0, 9]; 3^1 mod 3: [0, 1]; 29^1 mod 29: [0, 26]",,False
119,2,474,948,474,2*3*79,454,"G: one dominant prime factor in lcm(a,b)",79,4,237;513;553;829,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 79^1 mod 79: [0, 39]",0;39,True
19,17,59,4012,1003,17*59,452,"G: one dominant prime factor in lcm(a,b)",59,4,3009;3245;3757;3993,"17^1 mod 17: [0, 15]; 59^1 mod 59: [0, 40]",,False
95,6,374,2244,1122,2*3*11*17,445,"G: one dominant prime factor in lcm(a,b)",17,8,517;561;697;1309;1401;2013;2149;2193,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 11^1 mod 11: [0, 4]; 17^1 mod 17: [0, 7]",,False
15,19,41,3116,779,19*41,436,"G: one dominant prime factor in lcm(a,b)",41,4,969;1353;2337;3101,"19^1 mod 19: [0, 4]; 41^1 mod 41: [0, 26]",,False
75,1,299,1196,299,13*23,435,"G: one dominant prime factor in lcm(a,b)",23,4,845;897;1121;1173,"13^1 mod 13: [0, 3]; 23^1 mod 23: [0, 17]",,False
91,2,362,724,362,2*181,430,"F2: a=2, b=2p, p=2d-1",181,2,181;633,"2^1 mod 2: [0, 1]; 181^1 mod 181: [0, 90]",0;90,True
103,8,404,808,808,2^3*101,430,"G: one dominant prime factor in lcm(a,b)",101,2,505;705,"2^3 mod 8: [0, 1]; 101^1 mod 101: [0, 99]",0;99,True
87,7,341,9548,2387,7*11*31,423,"G: one dominant prime factor in lcm(a,b)",31,8,781;837;1705;5369;6237;6293;7161;9461,"7^1 mod 7: [0, 4]; 11^1 mod 11: [0, 1]; 31^1 mod 31: [0, 6]",,False
