residue,method,d,a,b
689,general_key_d_7,7,4,24
690,formula_even,,,
691,formula_3_mod_4,,,
692,formula_even,,,
693,formula_divisible_by_3,,,
694,formula_even,,,
695,formula_3_mod_4,,,
696,formula_even,,,
697,general_key_d_3,3,2,10
698,formula_even,,,
699,formula_divisible_by_3,,,
700,formula_even,,,
701,general_key_d_3,3,4,8
702,formula_even,,,
703,formula_3_mod_4,,,
704,formula_even,,,
705,formula_divisible_by_3,,,
706,formula_even,,,
707,formula_3_mod_4,,,
708,formula_even,,,
709,general_key_d_3,3,4,8
710,formula_even,,,
711,formula_divisible_by_3,,,
712,formula_even,,,
713,general_key_d_7,7,4,24
714,formula_even,,,
715,formula_3_mod_4,,,
716,formula_even,,,
717,formula_divisible_by_3,,,
718,formula_even,,,
719,formula_3_mod_4,,,
720,formula_even,,,
721,general_key_d_11,11,2,42
722,formula_even,,,
723,formula_divisible_by_3,,,
724,formula_even,,,
725,general_key_d_3,3,4,8
726,formula_even,,,
727,formula_3_mod_4,,,
728,formula_even,,,
729,formula_divisible_by_3,,,
730,formula_even,,,
731,formula_3_mod_4,,,
732,formula_even,,,
733,general_key_d_3,3,4,8
734,formula_even,,,
735,formula_divisible_by_3,,,
736,formula_even,,,
737,general_key_d_7,7,4,24
738,formula_even,,,
739,formula_3_mod_4,,,
740,formula_even,,,
741,formula_divisible_by_3,,,
742,formula_even,,,
743,formula_3_mod_4,,,
744,formula_even,,,
745,general_key_d_3,3,2,10
746,formula_even,,,
747,formula_divisible_by_3,,,
748,formula_even,,,
749,general_key_d_3,3,4,8
750,formula_even,,,
751,formula_3_mod_4,,,
752,formula_even,,,
753,formula_divisible_by_3,,,
754,formula_even,,,
755,formula_3_mod_4,,,
756,formula_even,,,
757,general_key_d_3,3,4,8
758,formula_even,,,
759,formula_divisible_by_3,,,
760,formula_even,,,
761,general_key_d_7,7,4,24
762,formula_even,,,
763,formula_3_mod_4,,,
764,formula_even,,,
765,formula_divisible_by_3,,,
766,formula_even,,,
767,formula_3_mod_4,,,
768,formula_even,,,
769,general_key_d_15,15,4,56
770,formula_even,,,
771,formula_divisible_by_3,,,
772,formula_even,,,
773,general_key_d_3,3,4,8
774,formula_even,,,
775,formula_3_mod_4,,,
776,formula_even,,,
777,formula_divisible_by_3,,,
778,formula_even,,,
779,formula_3_mod_4,,,
780,formula_even,,,
781,general_key_d_3,3,4,8
782,formula_even,,,
783,formula_divisible_by_3,,,
784,formula_even,,,
785,general_key_d_7,7,4,24
786,formula_even,,,
787,formula_3_mod_4,,,
788,formula_even,,,
789,formula_divisible_by_3,,,
790,formula_even,,,
791,formula_3_mod_4,,,
792,formula_even,,,
793,general_key_d_7,7,8,20
794,formula_even,,,
795,formula_divisible_by_3,,,
796,formula_even,,,
797,general_key_d_3,3,4,8
798,formula_even,,,
799,formula_3_mod_4,,,
800,formula_even,,,
801,formula_divisible_by_3,,,
802,formula_even,,,
803,formula_3_mod_4,,,
804,formula_even,,,
